feature,importance
reservoir_volume_change_24h,0.062346995
reservoir_volume_slope_12h,0.06137524
reservoir_volume_change_12h,0.047097616
reservoir_volume_slope_24h,0.035957143
reservoir_volume_change_6h,0.024062498
reservoir_volume_lag_72h,0.023713676
reservoir_volume_slope_6h,0.023513416
water_level_lag_72h,0.01911078
water_level_slope_12h,0.018982125
reservoir_volume_roll_mean_24h,0.017780116
reservoir_volume_roll_mean_72h,0.017699702
water_level_change_12h,0.017290259
reservoir_volume_lag_12h,0.016706623
reservoir_volume_roll_max_72h,0.016680252
water_level_roll_max_48h,0.015276246
reservoir_volume_roll_max_48h,0.015196737
water_level_roll_max_72h,0.014801001
water_level_roll_mean_24h,0.014168046
water_level_change_24h,0.013888109
cos_dayofyear,0.013025763
reservoir_volume_change_72h,0.012756312
reservoir_volume_roll_min_24h,0.01239633
reservoir_volume_slope_48h,0.012184115
reservoir_volume_roll_min_72h,0.012028497
reservoir_volume_roll_mean_48h,0.011738655
reservoir_volume_roll_std_72h,0.011715709
dayofyear,0.011431885
water_level_roll_mean_72h,0.011353917
reservoir_volume_change_48h,0.011320874
reservoir_volume_roll_mean_12h,0.011112526
reservoir_volume_roll_max_24h,0.011050841
reservoir_volume_slope_72h,0.01090809
sin_dayofyear,0.010887395
water_level_lag_12h,0.010800497
water_level_slope_72h,0.010362134
water_level_roll_min_72h,0.00989957
water_level_roll_max_24h,0.009800311
sin_month,0.009382778
reservoir_volume_roll_min_6h,0.009040739
reservoir_volume_lag_48h,0.008918371
water_level_roll_min_48h,0.008647964
water_level_roll_min_24h,0.008550047
month,0.008445975
water_level_roll_mean_6h,0.008313588
water_level_roll_min_6h,0.008303804
reservoir_volume_roll_max_12h,0.008214153
water_level_change_72h,0.008092914
water_level_roll_std_72h,0.0078798
reservoir_volume_roll_min_48h,0.007869211
water_level_slope_48h,0.0076931464
water_level_roll_mean_48h,0.0073785
water_level_lag_48h,0.007335873
reservoir_volume_roll_min_12h,0.007079598
water_level_slope_6h,0.006967486
water_level_roll_min_3h,0.0068525653
water_level_change_6h,0.0068228273
cos_month,0.0067225853
water_level_roll_max_12h,0.0067030024
reservoir_volume_roll_std_48h,0.006630348
reservoir_volume_roll_max_3h,0.0064803693
water_level_roll_min_12h,0.0063954666
is_weekend,0.0063672527
water_level_slope_24h,0.006235263
water_level_roll_std_24h,0.0058987294
reservoir_volume_roll_std_24h,0.005741158
water_level_roll_mean_3h,0.0056529455
dayofweek,0.0055515138
reservoir_volume_roll_mean_6h,0.0054807253
water_level_change_48h,0.0052196346
water_level_roll_std_12h,0.005145883
water_level_roll_std_48h,0.005144637
water_level_lag_24h,0.004782238
reservoir_volume,0.004060961
reservoir_volume_roll_std_6h,0.004009857
water_level_roll_std_3h,0.004003798
reservoir_volume_lag_6h,0.003992657
water_level_roll_max_3h,0.003911118
reservoir_volume_roll_std_3h,0.0038261127
water_level_roll_mean_12h,0.0038161622
water_level_lag_6h,0.0035843176
water_level_roll_max_6h,0.0034232498
water_level_slope_1h,0.0032264416
water_level,0.0031197525
water_level_slope_3h,0.0030324708
water_level_change_1h,0.002885517
reservoir_volume_roll_std_12h,0.002643381
reservoir_volume_lag_24h,0.0026092264
reservoir_volume_roll_max_6h,0.0025162024
reservoir_volume_change_1h,0.002305976
water_level_roll_std_6h,0.0022828365
reservoir_volume_slope_3h,0.002059306
water_level_lag_3h,0.0019959302
water_level_change_3h,0.0019878764
reservoir_volume_change_3h,0.0017449167
cos_hour,0.0015533442
reservoir_volume_roll_min_3h,0.001438104
reservoir_volume_slope_1h,0.0014302154
water_level_lag_1h,0.0013962794
hour,0.0003490435
sin_hour,0.00034721356
reservoir_volume_roll_mean_3h,4.512846e-05
reservoir_volume_lag_3h,4.1635943e-05
reservoir_volume_lag_1h,0.0
