model,horizon,MAE,RMSE,R2,Flood_Precision,Flood_Recall,Flood_F1,False_Alarms,Missed_Floods,Detected_Floods,True_NonFloods,baseline_MAE,MAE_improvement_%
XGBoost Delta target_24h,target_24h,0.018277309107821778,0.027895125381897506,0.9607570212163487,0.8974884674525884,0.8642645607107601,0.880563238622077,200,275,1751,4169,0.021948284597341765,16.725569022212298
XGBoost Delta target_6h,target_6h,0.006381725873306377,0.009779853803059974,0.995173432989205,0.9684684684684685,0.9550839091806516,0.9617296222664016,63,91,1935,4306,0.007085083659108693,9.927303891437724
Baseline Persistence target_72h,target_72h,0.04984480375293189,0.06545214052828345,0.7840009222860845,0.7156959526159921,0.7156959526159921,0.7156959526159921,576,576,1450,3793,0.04984480375293189,0.0
